                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.66956,                0.29684,                0.92504,                0.99815,                0.99861,                0.99393,                0.86943,                0.64033,                0.23078,                0.92611,               0.007261,               0.007261,               0.007261
                     85,                0.66824,                0.29837,                0.93284,                0.99816,                0.99861,                0.99395,                0.86973,                0.64008,                0.23049,                0.92652,               0.007228,               0.007228,               0.007228
                     86,                0.66799,                0.29614,                0.92706,                0.99819,                0.99861,                0.99393,                0.86997,                0.63946,                0.23039,                0.92669,               0.007195,               0.007195,               0.007195
                     87,                0.66662,                0.29643,                0.92888,                0.99823,                0.99861,                0.99397,                0.87007,                0.63942,                0.23049,                0.92706,               0.007162,               0.007162,               0.007162
                     88,                0.66826,                0.29707,                0.92717,                0.99818,                0.99854,                0.99397,                0.87021,                0.63895,                0.23057,                0.92704,               0.007129,               0.007129,               0.007129
                     89,                0.66759,                0.29646,                 0.9276,                0.99826,                0.99861,                0.99401,                0.86996,                0.63893,                0.23033,                0.92726,               0.007096,               0.007096,               0.007096
                     90,                0.66293,                0.29494,                0.93004,                 0.9982,                0.99854,                0.99402,                0.87038,                 0.6389,                0.23041,                0.92765,               0.007063,               0.007063,               0.007063
                     91,                0.66483,                0.29639,                0.93136,                0.99821,                0.99857,                  0.994,                0.87039,                0.63894,                0.23045,                 0.9282,                0.00703,                0.00703,                0.00703
                     92,                0.66535,                0.29506,                0.93456,                0.99821,                 0.9986,                0.99396,                0.86989,                0.63887,                0.23076,                0.92886,               0.006997,               0.006997,               0.006997
                     93,                0.66468,                 0.2962,                0.92926,                0.99815,                0.99862,                0.99394,                 0.8699,                0.63859,                 0.2307,                0.92922,               0.006964,               0.006964,               0.006964
                     94,                0.66497,                0.29556,                0.92644,                0.99815,                0.99862,                0.99391,                0.87027,                0.63853,                0.23053,                0.92941,               0.006931,               0.006931,               0.006931
                     95,                0.66762,                0.29224,                0.92695,                0.99815,                0.99862,                0.99392,                 0.8699,                0.63831,                0.23035,                0.92955,               0.006898,               0.006898,               0.006898
                     96,                0.66337,                0.29455,                0.91442,                0.99818,                0.99861,                0.99396,                 0.8703,                0.63807,                0.23008,                0.92888,               0.006865,               0.006865,               0.006865
                     97,                0.66529,                0.29446,                0.91882,                0.99818,                0.99861,                0.99405,                0.87059,                0.63769,                0.22993,                0.92825,               0.006832,               0.006832,               0.006832
                     98,                0.66013,                0.29253,                0.92084,                0.99818,                0.99861,                0.99405,                0.87053,                0.63771,                0.22977,                0.92825,               0.006799,               0.006799,               0.006799
                     99,                0.65909,                0.29319,                0.92507,                0.99818,                0.99861,                0.99407,                0.87068,                0.63763,                 0.2296,                 0.9284,               0.006766,               0.006766,               0.006766
                    100,                0.65669,                0.29242,                0.92282,                0.99818,                0.99861,                0.99405,                0.87042,                0.63763,                0.22965,                0.92844,               0.006733,               0.006733,               0.006733
                    101,                0.66167,                0.29386,                0.92483,                0.99817,                0.99861,                  0.994,                0.87048,                0.63759,                0.22968,                0.92859,                 0.0067,                 0.0067,                 0.0067
                    102,                0.65862,                0.29374,                0.92485,                0.99815,                0.99861,                0.99398,                0.87056,                0.63738,                0.22967,                0.92876,               0.006667,               0.006667,               0.006667
                    103,                0.65876,                0.29203,                0.92277,                0.99828,                0.99865,                0.99406,                0.87051,                0.63733,                0.22968,                0.92892,               0.006634,               0.006634,               0.006634
                    104,                0.65673,                0.29104,                0.92321,                0.99821,                0.99859,                0.99406,                0.87043,                0.63731,                0.22966,                0.92913,               0.006601,               0.006601,               0.006601
                    105,                0.65821,                0.29111,                0.93218,                0.99815,                0.99858,                  0.994,                0.87057,                0.63702,                0.22991,                0.92963,               0.006568,               0.006568,               0.006568
                    106,                0.66067,                0.29197,                0.92637,                0.99815,                 0.9986,                0.99409,                0.87097,                0.63681,                0.22966,                0.92968,               0.006535,               0.006535,               0.006535
                    107,                0.65785,                0.29123,                0.91609,                0.99816,                0.99854,                0.99407,                0.87119,                0.63626,                0.22955,                0.92908,               0.006502,               0.006502,               0.006502
                    108,                0.65694,                0.29148,                0.91517,                0.99821,                0.99863,                0.99408,                0.87116,                0.63585,                 0.2294,                0.92838,               0.006469,               0.006469,               0.006469
                    109,                0.65673,                0.29128,                0.91988,                0.99821,                0.99861,                 0.9941,                0.87123,                0.63561,                0.22925,                0.92809,               0.006436,               0.006436,               0.006436
                    110,                0.65552,                 0.2888,                0.91748,                0.99827,                0.99861,                0.99408,                 0.8716,                0.63534,                0.22911,                 0.9276,               0.006403,               0.006403,               0.006403
                    111,                0.65492,                0.28929,                0.92203,                0.99826,                0.99861,                0.99411,                0.87134,                0.63519,                0.22913,                0.92761,                0.00637,                0.00637,                0.00637
                    112,                0.65407,                0.28778,                0.92357,                0.99829,                0.99861,                0.99411,                0.87134,                0.63509,                0.22897,                0.92785,               0.006337,               0.006337,               0.006337
                    113,                0.65425,                0.28881,                0.91883,                0.99829,                0.99861,                0.99411,                0.87161,                0.63493,                0.22891,                0.92769,               0.006304,               0.006304,               0.006304
                    114,                0.65962,                0.28995,                0.91634,                0.99824,                0.99861,                0.99411,                0.87124,                0.63484,                0.22877,                0.92736,               0.006271,               0.006271,               0.006271
                    115,                0.65363,                0.28891,                0.91566,                0.99823,                0.99861,                 0.9941,                0.87157,                0.63463,                0.22867,                0.92695,               0.006238,               0.006238,               0.006238
                    116,                0.65429,                0.28761,                0.91873,                0.99823,                0.99861,                 0.9941,                 0.8717,                0.63432,                0.22841,                0.92658,               0.006205,               0.006205,               0.006205
